roi_name	perm_00000	perm_00001	perm_00002	perm_00003	perm_00004	perm_00005	perm_00006	perm_00007	perm_00008	perm_00009	perm_00010	perm_00011	perm_00012	perm_00013	perm_00014	perm_00015	perm_00016	perm_00017	perm_00018	perm_00019	perm_00020	perm_00021	perm_00022	perm_00023	perm_00024	perm_00025	perm_00026	perm_00027	perm_00028	perm_00029	perm_00030	perm_00031	perm_00032	perm_00033	perm_00034	perm_00035	perm_00036	perm_00037	perm_00038	perm_00039	perm_00040	perm_00041	perm_00042	perm_00043	perm_00044	perm_00045	perm_00046	perm_00047	perm_00048	perm_00049	perm_00050	perm_00051	perm_00052	perm_00053	perm_00054	perm_00055	perm_00056	perm_00057	perm_00058	perm_00059	perm_00060	perm_00061	perm_00062	perm_00063	perm_00064	perm_00065	perm_00066	perm_00067	perm_00068	perm_00069	perm_00070	perm_00071	perm_00072	perm_00073	perm_00074	perm_00075	perm_00076	perm_00077	perm_00078	perm_00079	perm_00080	perm_00081	perm_00082	perm_00083	perm_00084	perm_00085	perm_00086	perm_00087	perm_00088	perm_00089	perm_00090	perm_00091	perm_00092	perm_00093	perm_00094	perm_00095	perm_00096	perm_00097	perm_00098	perm_00099
DefaultA_Temp_1_L	-0.658093	-1.434433	-0.688	0.622129	-0.885008	-0.957698	0.951842	-1.823938	-1.086285	-1.215881	-1.170663	-0.993352	-1.081109	-0.15717	-1.051533	1.414977	-1.341257	0.177178	-1.27563	-1.102465	-0.246309	-1.166393	-0.613424	-1.333064	-0.956948	2.450449	-0.798612	-1.083835	-1.144606	-0.67781	-1.240794	0.399171	-1.298783	0.406088	-0.273266	-0.709334	2.178846	-1.047805	0.068598	-0.940772	-1.028698	0.385199	1.218014	-0.715361	1.562674	-1.525012	-1.015492	-1.762226	-1.147918	-0.990133	-1.450665	-0.424692	-1.577799	-0.87381	-0.140019	-0.558055	1.174727	-2.26899	-0.895391	-1.250662	-0.792327	0.724551	2.391556	-1.154411	-0.997804	-1.026552	1.59047	-1.042446	-1.035147	-1.124707	-1.537306	-0.890505	-1.167866	-0.957947	-0.936137	-1.131008	0.599437	-0.075017	-1.544735	-0.026758	-1.33193	-1.045262	-0.542079	-1.23929	-1.134506	-0.655779	-1.322237	-1.262356	-1.302434	1.178435	-1.502734	-0.10201	-1.155814	-0.842548	-0.613224	-1.060135	-1.652841	-1.341163	-0.250173	-0.830613
DefaultA_Temp_2_L	-0.658093	-1.434433	0.492893	0.622129	-0.885008	-0.957698	2.30581	-1.823938	-1.086285	-1.215881	-1.170663	-0.993352	-1.081109	-0.15717	-0.347383	-0.505996	-1.341257	-0.275682	-1.27563	-1.102465	-0.524998	-1.166393	-0.168955	-1.333064	-0.956948	2.450449	-1.064581	-1.192134	-1.144606	-0.67781	-1.240794	0.273205	-1.298783	2.260072	-0.273266	-0.709334	0.048103	-0.551104	-0.107474	-0.940772	-1.028698	0.385199	0.884269	-0.715361	0.326492	-1.525012	-1.015492	-1.762226	-1.147918	-0.990133	-1.450665	0.405116	-1.577799	-0.87381	-0.140019	-0.558055	0.595082	-2.26899	-0.895391	-1.250662	-0.792327	-1.093866	1.280199	-1.154411	-0.997804	-1.026552	1.59047	-1.042446	-1.035147	-1.124707	-1.537306	-0.890505	-1.167866	-1.135428	-0.936137	-1.131008	1.5237	0.136044	-1.544735	0.831346	-1.33193	-1.045262	-0.542079	-1.23929	-1.134506	-0.655779	1.499017	-1.262356	-1.302434	0.082458	-1.502734	-0.10201	-1.155814	-0.842548	-0.613224	-1.060135	-1.652841	-1.341163	0.218382	-0.367799
DefaultA_TempPole_1_L	-0.658093	-0.942174	0.239984	0.622129	-0.98254	-1.263605	-0.892475	-1.823938	-0.696106	-0.155011	-1.188543	2.21315	-1.030293	-0.15717	-1.051533	-1.124217	2.193893	-0.757789	-1.003479	-1.102465	-0.524998	-0.340426	-0.389709	0.329907	-0.165487	-0.113482	-0.193218	-1.083835	0.022253	-1.004602	-1.574138	-1.000872	-1.10312	-0.625797	-0.171465	-0.921751	-1.181191	-1.001991	-1.148828	-0.492835	-1.028698	-0.858611	-0.689948	0.700763	1.951132	-1.26788	-0.54821	-0.706121	-1.147918	-0.990133	2.243278	-0.021069	-0.375598	-0.87381	-0.942226	-1.116581	-0.298308	-2.26899	-0.566942	-1.01975	-0.792327	-1.011119	0.190695	-0.809665	-1.522078	-0.8815	-0.692457	0.467906	-0.663335	-1.000899	-0.841353	-0.890505	-1.167866	2.132123	-0.936137	1.596022	-1.765116	-0.861415	-1.544735	-1.44477	2.319747	-1.125186	-0.932926	0.42826	-0.630008	-0.655779	2.098037	-1.149101	-1.302434	-0.64548	-0.964407	-1.60632	-1.174881	-1.002594	-0.291506	1.713424	-0.015112	1.211181	-0.7923	-0.368066
DefaultA_pCun_1_L	-0.256047	0.112273	0.239984	0.161311	-0.971826	0.662388	-0.946734	-1.322163	-0.752784	0.527377	-1.188543	-0.562111	-0.603465	-0.51949	0.794494	0.262201	-1.097673	-0.796063	-0.316166	-1.151069	2.301362	-0.180744	-0.720649	-0.257786	-1.060233	-0.113482	-0.208587	-0.932653	0.022253	-0.220512	-0.40613	-0.82572	-1.10312	-0.214945	0.145757	-1.220232	-1.233218	-0.395981	0.437495	-0.225311	-0.702884	-0.15702	-0.689948	-0.701138	-0.86623	-1.206522	0.290938	-0.074745	-0.902633	-0.109085	0.001568	1.429888	-0.051059	-0.855951	-0.67813	1.121047	-0.612584	-1.316109	-0.730133	-0.550756	-0.516637	-1.045208	-0.710927	1.401974	-1.522078	-0.512763	-1.673618	-0.577914	-0.669363	-0.505128	-0.766308	-0.799004	-0.804606	0.697544	-1.331433	-0.95518	-0.71032	-0.633209	-0.356747	0.473906	-0.619959	0.436769	0.051639	0.466917	-0.856147	-0.655779	-0.652822	-0.577054	-0.548525	-0.625932	-1.431625	-0.4112	-1.174881	-1.127269	-0.291506	0.558169	-0.015112	-0.69096	-0.19004	-0.368066
DefaultB_FPole_1_L	2.09283	-1.018083	-1.240739	0.161311	-0.971826	-0.157688	-0.946734	0.861149	-0.752784	0.527377	-1.188543	-0.562111	1.608662	-0.507278	0.794494	-1.124217	-0.117506	0.019427	-0.464165	-0.416882	-0.524998	-0.180744	-0.720649	-0.257786	-0.165487	-0.113482	-0.828203	-0.932653	0.022253	0.629147	-0.40613	-0.82572	-1.10312	-0.214945	0.145757	-1.220232	-1.19973	1.607039	0.437495	-0.575256	1.440402	2.161476	-0.689948	-0.701138	-0.86623	-1.206522	0.290938	-0.074745	-0.568913	-0.109085	0.93096	0.080897	-0.335021	-0.855951	-0.316546	1.937725	-0.612584	-1.316109	-0.330184	-0.550756	0.26611	-1.045208	-0.909531	1.401974	1.233734	-0.840688	-1.00544	-0.577914	-0.818361	-0.505128	0.165619	-0.799004	-0.804606	0.26695	-1.331433	-0.98036	0.351649	0.248116	-0.356747	0.473906	-0.619959	0.879261	0.051639	0.466917	-0.556901	1.442972	-1.110832	-0.577054	-1.009687	-0.64548	-1.431625	-0.4112	-1.174881	-1.127269	-0.291506	-0.640332	-0.015112	-0.69096	-0.771698	-0.368066
DefaultB_IPL_1_L	-0.658093	-1.434433	-0.688	0.56902	-0.885008	-1.263605	-0.946734	-1.823938	-1.086285	-1.215881	-1.170663	-0.993352	-1.081109	-0.15717	-0.347383	0.735437	-1.341257	-0.757789	-1.27563	-1.102465	-0.75659	-1.166393	-0.76817	-1.333064	-0.956948	-0.967967	-1.064581	-1.083835	-1.144606	-0.67781	-1.574138	0.273205	-1.298783	-0.0357	-0.273266	-0.921751	0.881619	-0.551104	0.731135	-0.940772	-1.028698	-0.477475	0.444903	-0.715361	-0.162408	-1.525012	-1.015492	-1.762226	-1.147918	-0.990133	-1.371799	0.303599	-1.577799	-0.87381	-0.140019	-0.447709	0.595082	-2.26899	-0.895391	-1.250662	-0.945942	-1.091376	-0.218981	-1.154411	-0.997804	-1.026552	-0.258611	-0.639766	-1.035147	-1.124707	-1.537306	-0.890505	-1.167866	-0.992019	-0.936137	-1.131008	0.599437	-0.350371	-1.031369	-0.026758	-1.33193	-1.045262	-0.542079	-1.23929	-1.134506	-0.655779	-0.973136	-1.262356	-1.261988	-0.85882	-1.502734	-1.183247	-1.155814	-0.842548	-0.613224	-1.060135	-1.652841	-1.341163	-0.158118	-0.367799
DefaultB_IPL_2_L	-0.658093	-1.434433	-0.688	0.56902	-0.885008	-1.263605	2.30581	-1.823938	-1.086285	-1.215881	-1.170663	-0.993352	-1.081109	-0.15717	-0.347383	1.086592	-1.341257	-0.275682	-1.27563	-1.102465	-0.246309	-1.166393	-0.613424	-1.333064	-0.956948	0.182156	-0.798612	-1.192134	-1.144606	-0.67781	-1.240794	0.273205	-1.298783	-0.0357	-0.273266	-1.220232	-1.19973	-0.551104	0.731135	-0.940772	-1.028698	-0.477475	0.884269	-0.715361	0.326492	-1.525012	-1.015492	-1.762226	-1.147918	-0.990133	-1.450665	-0.424692	-1.577799	-0.87381	-0.140019	-0.558055	-0.317342	-2.26899	-0.895391	-1.250662	0.26611	-1.091376	-0.218981	-1.154411	-0.997804	-1.026552	-0.258611	-1.042446	-1.035147	-1.124707	-1.537306	-0.890505	-1.167866	-0.992019	-0.936137	-1.131008	0.599437	0.136044	-1.08436	0.831346	-1.33193	-1.045262	-0.542079	-1.23929	-1.134506	-0.655779	-0.973136	-1.262356	-1.302434	-0.544721	-1.502734	-1.183247	-1.155814	-0.842548	-0.613224	-1.060135	-1.652841	-1.341163	0.218382	-0.367799
DefaultB_PCC_1_L	-0.256047	-1.434433	-1.240739	-0.634973	-0.98254	0.084208	-0.892475	-1.823938	-0.696106	0.527377	-1.170663	-0.689786	0.152441	-0.194189	-0.932819	2.307152	-1.097673	-0.796063	0.38283	-1.151069	2.301362	-0.340426	-0.613424	-0.257786	-0.750017	-0.113482	-0.798612	-0.660751	0.022253	-0.220512	-1.282276	-1.23097	-1.059114	-0.214945	-0.760582	-0.921751	-0.186538	-0.831417	0.437495	-0.693647	-0.681268	-0.15702	-1.063742	-0.701138	-0.86623	-0.61156	-0.529724	-1.263958	-0.642865	-0.109085	-0.087805	1.429888	-1.04886	-0.87381	0.59159	-0.207704	0.297533	0.842341	-0.537645	-0.86073	0.125526	-1.045208	-1.128436	-0.809665	-1.14172	-1.026552	-0.875436	-0.639766	-0.669363	-1.000899	-0.841353	-0.890505	-0.804606	0.26695	-0.936137	-0.98036	-1.765116	-0.485749	-0.356747	0.473906	-1.019289	0.879261	0.051639	0.466917	-0.856147	-0.655779	-0.973136	-1.262356	-1.261988	-0.544721	-1.502734	-0.969884	-0.260701	-0.842548	-0.291506	-1.120246	-0.015112	-1.056421	-0.19004	-1.052553
DefaultB_PCC_2_L	-0.256047	0.112273	0.565477	0.161311	-0.212053	0.662388	-0.946734	-1.322163	-0.752784	0.527377	-1.188543	-0.562111	-0.603465	-0.194189	0.794494	0.262201	-0.117506	-0.796063	-0.316166	-0.416882	-0.524998	-0.180744	-0.720649	-0.257786	-1.060233	-0.113482	-0.208587	-0.932653	0.022253	-0.220512	-1.240794	-0.82572	-1.10312	-0.214945	0.145757	-1.220232	-1.233218	-0.395981	0.437495	-0.225311	-0.210293	2.161476	-0.689948	-0.701138	-0.86623	-1.206522	0.290938	-0.074745	-0.902633	-0.109085	0.001568	1.429888	-0.335021	-0.855951	-0.67813	1.121047	-0.612584	-1.316109	-0.730133	-0.550756	-0.516637	-1.045208	-0.710927	1.401974	-1.522078	-0.512763	-1.673618	-0.454745	-0.818361	-0.505128	-0.766308	-0.799004	-0.804606	0.697544	-1.331433	-0.95518	-0.71032	-0.633209	-0.356747	0.473906	-0.619959	0.436769	0.051639	-0.843744	-0.856147	-0.655779	-0.652822	-0.577054	-1.009687	-0.625932	-1.431625	-0.4112	-1.174881	-1.127269	-0.291506	0.558169	-0.015112	-0.69096	-0.19004	-0.368066
DefaultB_PFCd_1_L	2.09283	0.112273	0.565477	-0.103305	-0.212053	0.662388	0.225499	0.100671	-0.628963	0.527377	-0.659907	-0.214028	0.425607	1.096039	0.406844	-0.262312	-0.577424	1.013102	-1.003479	1.572755	1.137015	-0.359337	0.157489	2.000957	0.244466	0.053412	-0.208587	-0.133468	0.589039	2.109257	-0.117013	0.751771	-1.059114	0.619869	0.145757	-0.788611	0.158788	1.790992	1.717044	1.356448	1.440402	2.554493	0.733174	-0.76428	1.951132	0.109068	0.556249	0.045323	-0.642865	-0.244549	0.671151	1.429888	-0.375598	-0.171361	1.44912	1.121047	0.297533	-1.28541	-0.266443	-0.004994	2.646767	-1.045208	-0.754416	-0.418067	-0.997804	-0.94571	-0.692457	-0.454745	-0.593927	0.447019	-0.179444	-0.890505	2.687354	0.697544	0.46516	-0.95518	0.351649	1.097918	-0.690756	0.724923	0.205489	0.879261	2.352235	-0.830986	2.413128	1.442972	-0.639555	-0.577054	-1.302434	-0.236624	-0.964407	0.295586	-0.710826	-0.842548	1.68775	2.02351	0.28426	-0.431726	1.579906	1.268895
DefaultB_PFCd_2_L	2.09283	0.112273	0.565477	-0.103305	-0.212053	0.662388	-0.892475	-1.319419	-0.752784	0.391744	-0.659907	-0.214028	0.425607	1.096039	0.406844	-0.262312	-0.577424	1.013102	-1.003479	1.572755	1.137015	-0.359337	0.157489	2.000957	0.244466	-0.113482	-0.208587	-0.133468	0.589039	2.109257	-0.117013	0.751771	-1.10312	0.619869	0.145757	-0.788611	0.158788	1.790992	1.717044	1.356448	1.440402	2.554493	0.733174	-0.76428	-0.86623	0.109068	0.556249	0.863154	-0.642865	-0.244549	0.93096	1.429888	-0.051059	-0.171361	1.44912	1.121047	0.297533	-1.28541	-0.266443	-0.004994	2.646767	-1.045208	-0.754416	-0.418067	1.233734	-0.94571	-0.692457	-0.454745	-0.593927	0.447019	-0.179444	-0.890505	2.687354	0.697544	0.46516	-0.95518	0.351649	1.097918	0.376325	0.724923	0.51059	0.879261	2.352235	0.466917	-0.556901	1.442972	-1.110832	-0.577054	-1.302434	-0.625932	-0.964407	0.295586	-1.174881	0.54188	1.68775	2.02351	0.28426	-0.431726	1.579906	1.268895
